Date;EOP 20u23 C04 = 0;EOP 20u23 C04 = 0 - deviation;Date;gpsrapid daily;gpsrapid daily - deviation;Date;gpsrapid out;gpsrapid out - deviation;Date;Bulletin A;Bulletin A - deviation;Date;finals all (Bulletin A value);finals all (Bulletin A value) - deviation;Date;finals data (Bulletin A value);finals data (Bulletin A value) - deviation;Date;finals daily (Bulletin A value);finals daily (Bulletin A value) - deviation;Date;finals all (Bulletin B value);finals all (Bulletin B value) - deviation;Date;finals data (Bulletin B value);finals data (Bulletin B value) - deviation;Date;finals daily (Bulletin B value);finals daily (Bulletin B value) - deviation
1973.01.02;0.0;0;;;;1992.05.01;-0.22700000000000498;0.0;2004.12.18;-0.04399999999998849;0.0;1973.01.02;-2.7670000000000057;0.0;1992.01.01;-0.5809999999999982;0.0;;;;1973.01.02;19.49999999999999;0.0;1992.01.01;-1.1680000000000024;0.0;;;
1973.01.03;0.0;0;;;;1992.05.02;-0.23200000000000998;0.0;2004.12.19;-0.04899999999999349;0.0;1973.01.03;-3.3200000000000034;0.0;1992.01.02;0.26999999999999247;0.0;;;;1973.01.03;18.69999999999998;0.0;1992.01.02;-0.04400000000001625;0.0;;;
1973.01.04;0.0;0;;;;1992.05.03;-0.03500000000000725;0.0;2004.12.20;-0.04600000000001825;0.0;1973.01.04;-3.673999999999997;0.0;1992.01.03;0.7050000000000112;0.0;;;;1973.01.04;18.099000000000018;0.0;1992.01.03;0.7220000000000004;0.0;;;
1973.01.05;0.0;0;;;;1992.05.04;0.016000000000016;0.0;2004.12.21;-0.06299999999997974;0.0;1973.01.05;-4.127999999999993;0.0;1992.01.04;0.21799999999999597;0.0;;;;1973.01.05;17.39900000000001;0.0;1992.01.04;0.09699999999998599;0.0;;;
1973.01.06;0.0;0;;;;1992.05.05;0.08900000000000574;0.0;2004.12.22;-0.005999999999978245;0.0;1973.01.06;-4.484000000000002;0.0;1992.01.05;0.03399999999997849;0.0;;;;1973.01.06;17.79900000000001;0.0;1992.01.05;0.005999999999978245;0.0;;;
1973.01.07;0.0;0;;;;1992.05.06;0.5029999999999757;0.0;2004.12.23;-0.07199999999998874;0.0;1973.01.07;-4.845000000000002;0.0;1992.01.06;0.6369999999999987;0.0;;;;1973.01.07;17.198000000000004;0.0;1992.01.06;0.4659999999999942;0.0;;;
1973.01.08;0.0;0;;;;1992.05.07;0.6390000000000007;0.0;2004.12.24;-0.0050000000000050004;0.0;1973.01.08;-5.113000000000007;0.0;1992.01.07;0.7340000000000124;0.0;;;;1973.01.08;16.698000000000004;0.0;1992.01.07;0.4190000000000027;0.0;;;
1973.01.09;0.0;0;;;;1992.05.08;0.4320000000000157;0.0;2004.12.25;0.007000000000007001;0.0;1973.01.09;-5.391999999999994;0.0;1992.01.08;0.27699999999999947;0.0;;;;1973.01.09;16.198000000000004;0.0;1992.01.08;-0.20800000000001373;0.0;;;
1973.01.10;0.0;0;;;;1992.05.09;0.20700000000001273;0.0;2004.12.26;-0.026999999999999247;0.0;1973.01.10;-5.585999999999994;0.0;1992.01.09;0.41000000000002146;0.0;;;;1973.01.10;15.798000000000007;0.0;1992.01.09;-0.13499999999999623;0.0;;;
1973.01.11;0.0;0;;;;1992.05.10;-0.41200000000002346;0.0;2004.12.27;-0.08099999999999774;0.0;1973.01.11;-5.799000000000013;0.0;1992.01.10;0.6940000000000002;0.0;;;;1973.01.11;15.396999999999995;0.0;1992.01.10;0.16999999999997573;0.0;;;
1973.01.12;0.0;0;;;;1992.05.11;-0.9570000000000134;0.0;2004.12.28;0.11800000000000699;0.0;1973.01.12;-6.033999999999998;0.0;1992.01.11;-0.7659999999999889;0.0;;;;1973.01.12;14.996999999999996;0.0;1992.01.11;-1.2729999999999964;0.0;;;
1973.01.13;0.0;0;;;;1992.05.12;-0.12999999999999123;0.0;2004.12.29;-0.09999999999998899;0.0;1973.01.13;-6.1910000000000025;0.0;1992.01.12;-2.5720000000000187;0.0;;;;1973.01.13;14.697000000000001;0.0;1992.01.12;-2.9860000000000166;0.0;;;
1973.01.14;0.0;0;;;;1992.05.13;0.7009999999999794;0.0;2004.12.30;-0.16099999999999448;0.0;1973.01.14;-6.3760000000000066;0.0;1992.01.13;-1.9549999999999845;0.0;;;;1973.01.14;14.395999999999992;0.0;1992.01.13;-2.4190000000000045;0.0;;;
1973.01.15;0.0;0;;;;1992.05.14;0.14600000000000724;0.0;2004.12.31;0.001000000000001;0.0;1973.01.15;-6.490999999999997;0.0;1992.01.14;1.5189999999999926;0.0;;;;1973.01.15;14.196;0.0;1992.01.14;1.0329999999999784;0.0;;;
1973.01.16;0.0;0;;;;1992.05.15;0.45000000000000595;0.0;2005.01.01;0.011999999999984245;0.0;1973.01.16;-6.6399999999999935;0.0;1992.01.15;1.3849999999999973;0.0;;;;1973.01.16;13.99600000000001;0.0;1992.01.15;0.7879999999999832;0.0;;;
